symbol,track,bars,start,end,duplicate_timestamps,missing_values,ohlc_errors
AU_IDX,real,8136,2025-09-23 11:15:00,2026-08-24 14:45:00,0,0,0
AU_IDX,synthetic,480000,2015-01-01 09:00:00,2028-09-09 08:45:00,0,0,0
AG_IDX,real,8136,2025-09-23 11:15:00,2026-08-24 14:45:00,0,0,0
AG_IDX,synthetic,480000,2015-01-01 09:00:00,2028-09-09 08:45:00,0,0,0
RB_IDX,real,8211,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
RB_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
HC_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
HC_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
I_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
I_IDX,synthetic,840000,2015-01-01 09:00:00,2038-12-16 08:45:00,0,0,0
J_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
J_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
JM_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
JM_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
CU_IDX,real,8223,2025-07-25 23:45:00,2026-08-24 14:45:00,0,0,0
CU_IDX,synthetic,480000,2015-01-01 09:00:00,2028-09-09 08:45:00,0,0,0
AL_IDX,real,8015,2025-07-25 23:45:00,2026-08-24 14:45:00,0,0,0
AL_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
ZN_IDX,real,8015,2025-07-25 23:45:00,2026-08-24 14:45:00,0,0,0
ZN_IDX,synthetic,480000,2015-01-01 09:00:00,2028-09-09 08:45:00,0,0,0
SN_IDX,real,8015,2025-07-25 23:45:00,2026-08-24 14:45:00,0,0,0
SN_IDX,synthetic,480000,2015-01-01 09:00:00,2028-09-09 08:45:00,0,0,0
SC_IDX,real,8015,2025-09-23 11:15:00,2026-08-24 14:45:00,0,0,0
SC_IDX,synthetic,480000,2015-01-01 09:00:00,2028-09-09 08:45:00,0,0,0
RU_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
RU_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
TA_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
TA_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
MA_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
MA_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
SA_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
SA_IDX,synthetic,720000,2015-01-01 09:00:00,2035-07-15 08:45:00,0,0,0
FG_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
FG_IDX,synthetic,840000,2015-01-01 09:00:00,2038-12-16 08:45:00,0,0,0
LC_IDX,real,8015,2024-06-13 13:45:00,2026-08-24 14:45:00,0,0,0
LC_IDX,synthetic,840000,2015-01-01 09:00:00,2038-12-16 08:45:00,0,0,0
SI_IDX,real,8015,2024-06-13 13:45:00,2026-08-24 14:45:00,0,0,0
SI_IDX,synthetic,720000,2015-01-01 09:00:00,2035-07-15 08:45:00,0,0,0
CF_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
CF_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
SR_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
SR_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
C_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
C_IDX,synthetic,720000,2015-01-01 09:00:00,2035-07-15 08:45:00,0,0,0
M_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
M_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
Y_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
Y_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
P_IDX,real,8015,2025-03-17 09:15:00,2026-08-24 14:45:00,0,0,0
P_IDX,synthetic,600000,2015-01-01 09:00:00,2032-02-11 08:45:00,0,0,0
