symbol,stop_atr,trail_atr,trades,net_pnl
AU_IDX,1.5,1.5,949,-299417.8566428032
AU_IDX,1.5,2.0,921,-220798.22380709858
AU_IDX,1.5,2.5,912,-188110.54463567154
AU_IDX,1.5,3.0,912,-188110.54463567154
AU_IDX,1.8,1.5,949,-294351.87919995154
AU_IDX,1.8,2.0,915,-228557.75248567283
AU_IDX,1.8,2.5,894,-156013.05444282026
AU_IDX,1.8,3.0,892,-152694.00482139166
AU_IDX,2.0,1.5,949,-296479.0801142388
AU_IDX,2.0,2.0,914,-240861.30673567334
AU_IDX,2.0,2.5,887,-170417.87012853578
AU_IDX,2.0,3.0,880,-159889.4285999653
AU_IDX,2.5,1.5,949,-305808.47094995854
AU_IDX,2.5,2.0,914,-261855.35131424933
AU_IDX,2.5,2.5,880,-159643.39872139483
AU_IDX,2.5,3.0,860,-139569.1514213978
SC_IDX,1.5,1.5,953,-866050.1267856717
SC_IDX,1.5,2.0,926,-777763.6376071018
SC_IDX,1.5,2.5,922,-798603.3749642494
SC_IDX,1.5,3.0,922,-798603.3749642494
SC_IDX,1.8,1.5,953,-847480.4695356739
SC_IDX,1.8,2.0,917,-768152.5023213858
SC_IDX,1.8,2.5,899,-628616.3392499621
SC_IDX,1.8,3.0,897,-628789.4599999655
SC_IDX,2.0,1.5,953,-835443.4308213887
SC_IDX,2.0,2.0,914,-748739.4724285288
SC_IDX,2.0,2.5,886,-556883.2241785323
SC_IDX,2.0,3.0,879,-579746.1244285371
SC_IDX,2.5,1.5,953,-830872.0721071045
SC_IDX,2.5,2.0,914,-749705.3902142451
SC_IDX,2.5,2.5,875,-561105.7591785339
SC_IDX,2.5,3.0,854,-577391.0620713948
