date,start_equity,end_equity,cash,margin,daily_return,drawdown,turnover,trading_cost
2026-04-27,2000000.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0
2026-04-28,2000000.0,1775614.69995,1907336.49995,90588.2,-0.11219265002499998,0.17491303925816407,1197545.0,600.30005
2026-04-29,1775614.69995,1936474.0700500002,1702736.2700500002,79887.8,0.09059362377689814,0.20039841819048182,3407110.0,1730.6298999999997
2026-04-30,1936474.0700500002,1685657.6523,1666762.4023,115730.25,-0.1295222185668224,0.24449228195299394,1708675.0,901.4177500000001
2026-05-01,1685657.6523,1956665.31005,1704040.31005,72985.0,0.16077265593059356,0.3481704011061484,474985.0,287.34225000000004
2026-05-06,1956665.31005,2203575.30675,1689354.90675,96760.4,0.12618918290818504,0.42719237673538235,1343790.0,550.0033000000001
2026-05-07,2203575.30675,2203575.30675,1689354.90675,96760.4,0.0,0.19371030389511876,0.0,0.0
2026-05-08,2203575.30675,1809986.2309499998,1705262.4309499997,92133.79999999999,-0.17861385294814147,0.29204407772290925,2692360.0,1309.0758
2026-05-09,1809986.2309499998,1957657.7639499998,1717013.1639499997,78434.6,0.08158710297066311,0.2920010692881769,169340.0,48.467
2026-05-11,1957657.7639499998,2007051.6469499997,1751858.4469499998,39703.2,0.02523111235762528,0.22997627622376324,357540.0,166.11700000000002
2026-05-12,2007051.6469499997,1842043.3984499997,1763203.3984499997,26640.0,-0.08221425131274199,0.23003863845412523,164970.0,38.2485
2026-05-13,1842043.3984499997,2061370.5527,1681014.0527,107386.5,0.11906731102782622,0.30475336189104085,1526845.0,677.84575
2026-05-14,2061370.5527,2069945.4407999997,1698433.0407999998,85032.4,0.004159799454187607,0.23293362485785102,2130070.0,955.1119000000001
2026-05-15,2069945.4407999997,1933732.6152999997,1705966.2152999998,74736.4,-0.0658050317728935,0.3107844077702847,1158450.0,362.82550000000003
2026-05-16,1933732.6152999997,1606008.4872999997,1721537.0872999998,56851.4,-0.1694774786374262,0.31085069581056907,176600.0,64.128
2026-05-18,1606008.4872999997,2110268.4872999997,1721537.0872999998,56851.4,0.3139833967177566,0.3094056124035605,0.0,0.0
2026-05-19,2110268.4872999997,2002725.9262999997,1519696.3262999996,76729.6,-0.050961553777261866,0.30948732842955207,1056180.0,562.561
2026-05-20,2002725.9262999997,1710275.0975499994,1677222.1475499994,85697.95000000001,-0.14602638579223767,0.3171550397990182,1466825.0,715.82875
2026-05-21,1710275.0975499994,2054440.4227499994,1703000.4727499995,55804.95,0.20123389839039535,0.31795069584156754,344440.0,274.6748
2026-05-22,2054440.4227499994,1675317.7621499994,1673717.7621499994,80880.0,-0.1845381625097311,0.36114958800811325,2846260.0,872.6606
2026-05-23,1675317.7621499994,1756443.8431499994,1686097.6431499994,66451.2,0.04842429468179684,0.3321251299266134,178380.0,68.919
2026-05-25,1756443.8431499994,2022940.3751499995,1698015.5751499995,52764.8,0.15172505118186205,0.2443308882969735,169360.0,48.468
2026-05-26,2022940.3751499995,2207812.9767499994,1708940.9767499994,39672.0,0.09138806258009051,0.2461081681657201,184960.0,87.3984
2026-05-27,2207812.9767499994,2071448.4062499995,1684927.6062499995,62700.8,-0.06176454796489816,0.32041139904899907,1412600.0,684.5704999999999
2026-05-28,2071448.4062499995,2256222.9738499993,1675429.7738499993,71283.2,0.08920066125832322,0.349677485300838,1217810.0,635.4323999999999
2026-05-29,2256222.9738499993,1701014.0938999993,1503087.4438999994,74381.65,-0.24607890549159525,0.3642862189106017,1117915.0,543.8799500000001
2026-05-30,1701014.0938999993,1577610.3446499992,1512780.4446499993,63259.9,-0.0725471644782591,0.4160604105154818,124975.0,28.74925
2026-06-01,1577610.3446499992,1576010.3446499992,1512780.4446499993,63259.9,-0.001014192132693557,0.3521786475145513,0.0,0.0
2026-06-02,1576010.3446499992,1492742.2086499995,1490119.8086499996,81002.4,-0.05283476487490437,0.48664260683955146,1590040.0,768.136
2026-06-03,1492742.2086499995,1772558.4429999997,1650973.8929999997,89009.55,0.18745114375981867,0.5601653227257715,1774675.0,828.7656499999998
2026-06-04,1772558.4429999997,1894429.7859999998,1659845.9859999998,77833.8,0.06875448506720978,0.3699347951000895,121900.0,28.657
2026-06-05,1894429.7859999998,2038299.6242499996,1818864.1742499997,68150.45,0.07594361074409321,0.3695146829256153,3380845.0,1625.16175
2026-06-06,2038299.6242499996,2041401.5872499996,1830167.3372499996,55159.25,0.0015218385771627507,0.22312213172931905,160740.0,38.037
2026-06-08,2041401.5872499996,2199001.58725,1830167.3372499996,55159.25,0.07720186022403626,0.1590954040800901,0.0,0.0
2026-06-09,2199001.58725,2322397.8844999997,1840063.8844999997,43934.0,0.056114692215531885,0.22152683389997394,123425.0,28.70275
2026-06-10,2322397.8844999997,2043967.7142499995,1770184.9142499994,112332.8,-0.11988909054227148,0.2940930446684401,1353945.0,705.17025
2026-06-11,2043967.7142499995,1745066.9589499994,1812655.7089499994,73876.25,-0.14623555607857378,0.3314674168282409,2358240.0,1080.7553000000003
2026-06-12,1745066.9589499994,2028484.1939999992,1766519.1939999992,123465.0,0.16241052161146352,0.28125110320826335,2107775.0,957.76495
2026-06-13,2028484.1939999992,2220682.9871999994,1779403.187199999,108349.8,0.09474995850029298,0.16451871997265347,186780.0,71.2068
2026-06-15,2220682.9871999994,2012772.7671999992,1796982.9671999991,88349.8,-0.09362444851353985,0.2338419351705004,202200.0,220.22
2026-06-16,2012772.7671999992,1859184.0180999988,1793282.7180999988,97471.3,-0.07630704846710548,0.3205781089981512,2357560.0,908.7491000000002
2026-06-17,1859184.0180999988,1698724.3940999988,1803463.0940999987,84831.3,-0.08630647770089078,0.3865232092852956,160400.0,59.624
2026-06-18,1698724.3940999988,1698724.3940999988,1803463.0940999987,84831.3,0.0,0.38668795915763843,0.0,0.0
2026-06-19,1698724.3940999988,2098629.3940999988,1803463.0940999987,84831.3,0.23541488035902003,0.38520521030655297,0.0,0.0
2026-06-22,2098629.3940999988,2132931.109199999,1781541.0591999986,116005.05,0.016344817811298457,0.3834753366469533,2035800.0,833.2849
2026-06-23,2132931.109199999,2287968.7011999986,1801816.6511999986,94067.05,0.07268757595183177,0.14098028493351528,155100.0,62.408
2026-06-24,2287968.7011999986,2198929.826699998,1824169.8266999985,66860.0,-0.03891612435664049,0.226742426790024,324630.0,108.8745
2026-06-25,2198929.826699998,2397809.9186999984,1845483.5186999985,42646.4,0.09044403763373643,0.22026771891448035,199080.0,199.90800000000002
2026-06-26,2397809.9186999984,2397809.9186999984,1845483.5186999985,42646.4,0.0,0.2186202201910521,0.0,0.0
2026-06-27,2397809.9186999984,2081899.9186999984,1845483.5186999985,42646.4,-0.1317493924502883,0.14269524152186108,0.0,0.0
2026-06-29,2081899.9186999984,2397809.9186999984,1845483.5186999985,42646.4,0.1517412038698113,0.14319360988569813,0.0,0.0
2026-06-30,2397809.9186999984,2401895.7003999986,1980621.3003999987,89464.40000000001,0.0017039639665079552,0.27892292322357265,3792880.0,1624.2183
2026-07-01,2401895.7003999986,2396634.5839499985,2046179.3839499985,73015.2,-0.002190401710250754,0.32159834474765114,3982255.0,1616.11645
2026-07-02,2396634.5839499985,1979358.6017499992,1824454.7517499991,103828.85,-0.17410913828685073,0.37838709757665434,3306020.0,1585.9822
2026-07-03,1979358.6017499992,2236258.350949999,1841557.1509499992,76301.20000000001,0.12978939186303504,0.3641328909437083,4247640.0,2070.2508
2026-07-04,2236258.350949999,2064078.1009499994,1862834.5009499993,52303.6,-0.07699479352502119,0.33686037999978125,202500.0,200.25
2026-07-06,2064078.1009499994,2033558.1009499994,1862834.5009499993,52303.6,-0.014786262199067497,0.3374579746950637,0.0,0.0
2026-07-07,2033558.1009499994,2209394.492249999,1791595.9922499994,119348.5,0.08646735552716976,0.42594192604184533,1708890.0,873.6087
2026-07-08,2209394.492249999,2392950.7273999993,1852201.1273999994,43229.6,0.0830798826528577,0.4272448933933359,1746865.0,688.76485
2026-07-09,2392950.7273999993,2341035.0151999993,1821697.5151999993,76767.5,-0.021695270030239053,0.3341667653418688,900240.0,295.7122
2026-07-10,2341035.0151999993,2367489.155349999,1851175.2553499993,44203.9,0.011300189863986227,0.3332731242733959,276295.0,90.85985000000001
2026-07-11,2367489.155349999,2080589.1553499992,1851175.2553499993,44203.9,-0.12118323725017696,0.26874124461408444,0.0,0.0
2026-07-13,2080589.1553499992,2367489.155349999,1851175.2553499993,44203.9,0.13789363424406456,0.2688379143442036,0.0,0.0
2026-07-14,2367489.155349999,2367489.155349999,1851175.2553499993,44203.9,0.0,0.26882912618692006,0.0,0.0
2026-07-15,2367489.155349999,2076521.7215999991,1874697.3215999992,16664.4,-0.12290127415894529,0.3354951852357052,290875.0,92.43375
2026-07-16,2076521.7215999991,1889363.0135999992,1889363.0135999992,0.0,-0.09013086935386862,0.33583922682925255,187080.0,78.708
2026-07-17,1889363.0135999992,1889363.0135999992,1889363.0135999992,0.0,0.0,0.33583922682925255,0.0,0.0
2026-07-18,1889363.0135999992,1889363.0135999992,1889363.0135999992,0.0,0.0,0.33583922682925255,0.0,0.0
2026-07-20,1889363.0135999992,1889363.0135999992,1889363.0135999992,0.0,0.0,0.33583922682925255,0.0,0.0
2026-07-21,1889363.0135999992,1889363.0135999992,1889363.0135999992,0.0,0.0,0.33583922682925255,0.0,0.0
2026-07-22,1889363.0135999992,1889363.0135999992,1889363.0135999992,0.0,0.0,0.33583922682925255,0.0,0.0
2026-07-23,1889363.0135999992,1889363.0135999992,1889363.0135999992,0.0,0.0,0.33583922682925255,0.0,0.0
2026-07-24,1889363.0135999992,2411918.992799999,1941456.6927999994,150402.3,0.27657786007164387,0.5181452188026107,2340240.0,1144.0208
2026-07-25,2411918.992799999,2764731.055299999,1966958.7552999994,122772.3,0.14627857052960974,0.45032851305057076,186250.0,77.9375
2026-07-27,2764731.055299999,2377428.2672999995,1987980.9672999994,99687.3,-0.14008696696104994,0.26548993859208797,151920.0,82.788
2026-07-28,2377428.2672999995,1978772.1887999992,1968189.7887999993,126912.4,-0.16768374633348937,0.3044095510591929,3651050.0,2146.0785
2026-07-29,1978772.1887999992,2439269.119249999,1976149.919249999,121974.2,0.23271851760220175,0.33659637732205194,1803355.0,868.0695499999999
2026-07-30,2439269.119249999,2462160.9870499987,1968669.1870499987,138226.8,0.009384724145172718,0.33267334391066816,1653460.0,708.1321999999999
2026-07-31,2462160.9870499987,2671392.187549999,2041758.5875499987,52653.6,0.08497868400988982,0.261649893419683,639570.0,318.79949999999997
2026-08-01,2671392.187549999,2085229.5285499988,2085229.5285499988,0.0,-0.21942216561529468,0.26698699723067293,585770.0,392.65899999999993
2026-08-03,2085229.5285499988,1685444.3207999987,1947674.9207999988,136959.4,-0.19172239903393165,0.48164132717426833,1271815.0,595.20775
