time,symbol,side,lots,price,pnl,cost
2026-04-28 10:45:00,AL_IDX,OPEN_LONG,1.0,25055.0,,
2026-04-28 10:45:00,C_IDX,OPEN_LONG,9.0,2418.0,,
2026-04-28 10:45:00,CF_IDX,OPEN_LONG,2.0,16365.0,,
2026-04-28 10:45:00,HC_IDX,OPEN_LONG,6.0,3402.0,,
2026-04-28 10:45:00,JM_IDX,OPEN_SHORT,2.0,1264.0,,
2026-04-28 10:45:00,FG_IDX,OPEN_SHORT,10.0,1057.0,,
2026-04-28 21:15:00,AL_IDX,STOP_LOSS_LONG,,,-1475.0,28.714
2026-04-29 10:15:00,C_IDX,CLOSE_LONG,,,450.0,98.7228
2026-04-29 10:15:00,CF_IDX,CLOSE_LONG,,,-450.0,59.792
2026-04-29 10:15:00,HC_IDX,CLOSE_LONG,,,-1860.0,80.226
2026-04-29 10:15:00,JM_IDX,CLOSE_SHORT,,,1740.0,82.491
2026-04-29 10:15:00,FG_IDX,CLOSE_SHORT,,,6000.0,220.54
2026-04-29 10:15:00,ZN_IDX,OPEN_LONG,1.0,23880.0,,
2026-04-29 10:15:00,FG_IDX,OPEN_LONG,10.0,1027.0,,
2026-04-29 10:15:00,SI_IDX,OPEN_LONG,5.0,8680.0,,
2026-04-29 10:15:00,C_IDX,OPEN_SHORT,9.0,2423.0,,
2026-04-29 10:15:00,Y_IDX,OPEN_SHORT,2.0,8526.0,,
2026-04-29 10:15:00,CF_IDX,OPEN_SHORT,2.0,16320.0,,
2026-04-29 13:55:00,ZN_IDX,CLOSE_LONG,,,-300.0,28.573
2026-04-29 13:55:00,SI_IDX,CLOSE_LONG,,,-217000.0,125.0
2026-04-29 13:55:00,C_IDX,CLOSE_SHORT,,,0.0,98.7228
2026-04-29 13:55:00,CF_IDX,CLOSE_SHORT,,,-350.0,59.813
2026-04-29 13:55:00,HC_IDX,OPEN_LONG,5.0,3372.0,,
2026-04-29 13:55:00,RU_IDX,OPEN_SHORT,1.0,17310.0,,
2026-04-29 13:55:00,P_IDX,OPEN_SHORT,2.0,9729.0,,
2026-04-29 13:55:00,SR_IDX,OPEN_SHORT,3.0,5425.0,,
2026-04-29 22:15:00,RU_IDX,STOP_LOSS_SHORT,,,-1800.0,63.992000000000004
2026-04-30 13:45:00,FG_IDX,CLOSE_LONG,,,800.0,220.62
2026-04-30 13:45:00,Y_IDX,CLOSE_SHORT,,,-480.0,48.55
