symbol,stop_atr,trail_atr,trades,net_pnl
AG_IDX,2.0,4.0,505,161235.58245000034
AG_IDX,2.0,5.0,505,161235.58245000034
AG_IDX,2.0,6.0,505,161235.58245000034
AG_IDX,2.0,7.0,505,161235.58245000034
AG_IDX,2.5,4.0,505,136037.8770000001
AG_IDX,2.5,5.0,505,136037.8770000001
AG_IDX,2.5,6.0,505,136037.8770000001
AG_IDX,2.5,7.0,505,136037.8770000001
AG_IDX,3.0,4.0,504,124000.18289999967
AG_IDX,3.0,5.0,504,124000.18289999967
AG_IDX,3.0,6.0,504,124000.18289999967
AG_IDX,3.0,7.0,504,124000.18289999967
AG_IDX,3.5,4.0,504,118519.61325000017
AG_IDX,3.5,5.0,504,118519.61325000017
AG_IDX,3.5,6.0,504,118519.61325000017
AG_IDX,3.5,7.0,504,118519.61325000017
AU_IDX,2.0,4.0,546,679455.9020857336
AU_IDX,2.0,5.0,546,679455.9020857336
AU_IDX,2.0,6.0,546,679455.9020857336
AU_IDX,2.0,7.0,546,679455.9020857336
AU_IDX,2.5,4.0,546,701199.2102000194
AU_IDX,2.5,5.0,546,701199.2102000194
AU_IDX,2.5,6.0,546,701199.2102000194
AU_IDX,2.5,7.0,546,701199.2102000194
AU_IDX,3.0,4.0,546,701199.2102000194
AU_IDX,3.0,5.0,546,701199.2102000194
AU_IDX,3.0,6.0,546,701199.2102000194
AU_IDX,3.0,7.0,546,701199.2102000194
AU_IDX,3.5,4.0,546,701199.2102000194
AU_IDX,3.5,5.0,546,701199.2102000194
AU_IDX,3.5,6.0,546,701199.2102000194
AU_IDX,3.5,7.0,546,701199.2102000194
RB_IDX,2.0,4.0,450,126787.22027142812
RB_IDX,2.0,5.0,450,126787.22027142812
RB_IDX,2.0,6.0,450,126787.22027142812
RB_IDX,2.0,7.0,450,126787.22027142812
RB_IDX,2.5,4.0,450,101105.48885714286
RB_IDX,2.5,5.0,450,101105.48885714286
RB_IDX,2.5,6.0,450,101105.48885714286
RB_IDX,2.5,7.0,450,101105.48885714286
RB_IDX,3.0,4.0,450,84639.19960000145
RB_IDX,3.0,5.0,450,84639.19960000145
RB_IDX,3.0,6.0,450,84639.19960000145
RB_IDX,3.0,7.0,450,84639.19960000145
RB_IDX,3.5,4.0,450,71218.57130000053
RB_IDX,3.5,5.0,450,71218.57130000053
RB_IDX,3.5,6.0,450,71218.57130000053
RB_IDX,3.5,7.0,450,71218.57130000053
HC_IDX,2.0,4.0,461,148982.5123857155
HC_IDX,2.0,5.0,461,148982.5123857155
HC_IDX,2.0,6.0,461,148982.5123857155
HC_IDX,2.0,7.0,461,148982.5123857155
HC_IDX,2.5,4.0,461,115481.8414178578
HC_IDX,2.5,5.0,461,115481.8414178578
HC_IDX,2.5,6.0,461,115481.8414178578
HC_IDX,2.5,7.0,461,115481.8414178578
HC_IDX,3.0,4.0,461,91110.06432142842
HC_IDX,3.0,5.0,461,91110.06432142842
HC_IDX,3.0,6.0,461,91110.06432142842
HC_IDX,3.0,7.0,461,91110.06432142842
HC_IDX,3.5,4.0,461,79686.67830000073
HC_IDX,3.5,5.0,461,79686.67830000073
HC_IDX,3.5,6.0,461,79686.67830000073
HC_IDX,3.5,7.0,461,79686.67830000073
J_IDX,2.0,4.0,489,195796.55528571014
J_IDX,2.0,5.0,489,195796.55528571014
J_IDX,2.0,6.0,489,195796.55528571014
J_IDX,2.0,7.0,489,195796.55528571014
J_IDX,2.5,4.0,489,192201.13705356792
J_IDX,2.5,5.0,489,192201.13705356792
J_IDX,2.5,6.0,489,192201.13705356792
J_IDX,2.5,7.0,489,192201.13705356792
J_IDX,3.0,4.0,489,197084.98828571104
J_IDX,3.0,5.0,489,197084.98828571104
J_IDX,3.0,6.0,489,197084.98828571104
J_IDX,3.0,7.0,489,197084.98828571104
J_IDX,3.5,4.0,489,196800.67799999705
J_IDX,3.5,5.0,489,196800.67799999705
J_IDX,3.5,6.0,489,196800.67799999705
J_IDX,3.5,7.0,489,196800.67799999705
CU_IDX,2.0,4.0,525,422233.37049999996
CU_IDX,2.0,5.0,525,422233.37049999996
CU_IDX,2.0,6.0,525,422233.37049999996
CU_IDX,2.0,7.0,525,422233.37049999996
CU_IDX,2.5,4.0,525,433858.69499999983
CU_IDX,2.5,5.0,525,433858.69499999983
CU_IDX,2.5,6.0,525,433858.69499999983
CU_IDX,2.5,7.0,525,433858.69499999983
CU_IDX,3.0,4.0,525,432570.9022499996
CU_IDX,3.0,5.0,525,432570.9022499996
CU_IDX,3.0,6.0,525,432570.9022499996
CU_IDX,3.0,7.0,525,432570.9022499996
CU_IDX,3.5,4.0,525,437131.38849999965
CU_IDX,3.5,5.0,525,437131.38849999965
CU_IDX,3.5,6.0,525,437131.38849999965
CU_IDX,3.5,7.0,525,437131.38849999965
I_IDX,2.0,4.0,326,51104.579642856144
I_IDX,2.0,5.0,326,51104.579642856144
I_IDX,2.0,6.0,326,51104.579642856144
I_IDX,2.0,7.0,326,51104.579642856144
I_IDX,2.5,4.0,326,39747.384464285686
I_IDX,2.5,5.0,326,39747.384464285686
I_IDX,2.5,6.0,326,39747.384464285686
I_IDX,2.5,7.0,326,39747.384464285686
I_IDX,3.0,4.0,326,36377.47150000092
I_IDX,3.0,5.0,326,36377.47150000092
I_IDX,3.0,6.0,326,36377.47150000092
I_IDX,3.0,7.0,326,36377.47150000092
I_IDX,3.5,4.0,326,33707.52500000072
I_IDX,3.5,5.0,326,33707.52500000072
I_IDX,3.5,6.0,326,33707.52500000072
I_IDX,3.5,7.0,326,33707.52500000072
JM_IDX,2.0,4.0,417,97011.01410000178
JM_IDX,2.0,5.0,417,97011.01410000178
JM_IDX,2.0,6.0,417,97011.01410000178
JM_IDX,2.0,7.0,417,97011.01410000178
JM_IDX,2.5,4.0,416,80658.66600000078
JM_IDX,2.5,5.0,416,80658.66600000078
JM_IDX,2.5,6.0,416,80658.66600000078
JM_IDX,2.5,7.0,416,80658.66600000078
JM_IDX,3.0,4.0,416,72821.76720000047
JM_IDX,3.0,5.0,416,72821.76720000047
JM_IDX,3.0,6.0,416,72821.76720000047
JM_IDX,3.0,7.0,416,72821.76720000047
JM_IDX,3.5,4.0,416,67666.19040000008
JM_IDX,3.5,5.0,416,67666.19040000008
JM_IDX,3.5,6.0,416,67666.19040000008
JM_IDX,3.5,7.0,416,67666.19040000008
ZN_IDX,2.0,4.0,508,141072.44292857032
ZN_IDX,2.0,5.0,508,141072.44292857032
ZN_IDX,2.0,6.0,508,141072.44292857032
ZN_IDX,2.0,7.0,508,141072.44292857032
ZN_IDX,2.5,4.0,508,122244.5084107127
ZN_IDX,2.5,5.0,508,122244.5084107127
ZN_IDX,2.5,6.0,508,122244.5084107127
ZN_IDX,2.5,7.0,508,122244.5084107127
ZN_IDX,3.0,4.0,508,116179.40949999623
ZN_IDX,3.0,5.0,508,116179.40949999623
ZN_IDX,3.0,6.0,508,116179.40949999623
ZN_IDX,3.0,7.0,508,116179.40949999623
ZN_IDX,3.5,4.0,508,113527.35424999741
ZN_IDX,3.5,5.0,508,113527.35424999741
ZN_IDX,3.5,6.0,508,113527.35424999741
ZN_IDX,3.5,7.0,508,113527.35424999741
SN_IDX,2.0,4.0,524,317454.6397285694
SN_IDX,2.0,5.0,524,317454.6397285694
SN_IDX,2.0,6.0,524,317454.6397285694
SN_IDX,2.0,7.0,524,317454.6397285694
SN_IDX,2.5,4.0,524,311598.88597499905
SN_IDX,2.5,5.0,524,311598.88597499905
SN_IDX,2.5,6.0,524,311598.88597499905
SN_IDX,2.5,7.0,524,311598.88597499905
SN_IDX,3.0,4.0,524,308375.9462500005
SN_IDX,3.0,5.0,524,308375.9462500005
SN_IDX,3.0,6.0,524,308375.9462500005
SN_IDX,3.0,7.0,524,308375.9462500005
SN_IDX,3.5,4.0,524,311192.7012000007
SN_IDX,3.5,5.0,524,311192.7012000007
SN_IDX,3.5,6.0,524,311192.7012000007
SN_IDX,3.5,7.0,524,311192.7012000007
AL_IDX,2.0,4.0,458,120638.81421428558
AL_IDX,2.0,5.0,458,120638.81421428558
AL_IDX,2.0,6.0,458,120638.81421428558
AL_IDX,2.0,7.0,458,120638.81421428558
AL_IDX,2.5,4.0,458,103120.9203124987
AL_IDX,2.5,5.0,458,103120.9203124987
AL_IDX,2.5,6.0,458,103120.9203124987
AL_IDX,2.5,7.0,458,103120.9203124987
AL_IDX,3.0,4.0,458,86517.62162499863
AL_IDX,3.0,5.0,458,86517.62162499863
AL_IDX,3.0,6.0,458,86517.62162499863
AL_IDX,3.0,7.0,458,86517.62162499863
AL_IDX,3.5,4.0,458,80824.66293749947
AL_IDX,3.5,5.0,458,80824.66293749947
AL_IDX,3.5,6.0,458,80824.66293749947
AL_IDX,3.5,7.0,458,80824.66293749947
SC_IDX,2.0,4.0,486,476686.9577142664
SC_IDX,2.0,5.0,486,476686.9577142664
SC_IDX,2.0,6.0,486,476686.9577142664
SC_IDX,2.0,7.0,486,476686.9577142664
SC_IDX,2.5,4.0,486,477656.4783214091
SC_IDX,2.5,5.0,486,477656.4783214091
SC_IDX,2.5,6.0,486,477656.4783214091
SC_IDX,2.5,7.0,486,477656.4783214091
SC_IDX,3.0,4.0,486,473297.03878569463
SC_IDX,3.0,5.0,486,473297.03878569463
SC_IDX,3.0,6.0,486,473297.03878569463
SC_IDX,3.0,7.0,486,473297.03878569463
SC_IDX,3.5,4.0,486,465736.3307499804
SC_IDX,3.5,5.0,486,465736.3307499804
SC_IDX,3.5,6.0,486,465736.3307499804
SC_IDX,3.5,7.0,486,465736.3307499804
RU_IDX,2.0,4.0,408,123895.28049999976
RU_IDX,2.0,5.0,408,123895.28049999976
RU_IDX,2.0,6.0,408,123895.28049999976
RU_IDX,2.0,7.0,408,123895.28049999976
RU_IDX,2.5,4.0,408,120168.32450000069
RU_IDX,2.5,5.0,408,120168.32450000069
RU_IDX,2.5,6.0,408,120168.32450000069
RU_IDX,2.5,7.0,408,120168.32450000069
