symbol,timeframe,stop_atr,trail_atr,trades,net_pnl
SC_IDX,30m,2.0,4.0,545,989750.8711428347
SC_IDX,30m,2.0,5.0,545,989750.8711428347
SC_IDX,30m,2.0,6.0,545,989750.8711428347
SC_IDX,30m,2.0,7.0,545,989750.8711428347
SC_IDX,30m,2.5,4.0,544,1014317.9767499766
SC_IDX,30m,2.5,5.0,544,1014317.9767499766
SC_IDX,30m,2.5,6.0,544,1014317.9767499766
SC_IDX,30m,2.5,7.0,544,1014317.9767499766
SC_IDX,30m,3.0,4.0,544,1030017.9059999767
SC_IDX,30m,3.0,5.0,544,1030017.9059999767
SC_IDX,30m,3.0,6.0,544,1030017.9059999767
SC_IDX,30m,3.0,7.0,544,1030017.9059999767
SC_IDX,30m,3.5,4.0,544,1030017.9059999767
SC_IDX,30m,3.5,5.0,544,1030017.9059999767
SC_IDX,30m,3.5,6.0,544,1030017.9059999767
SC_IDX,30m,3.5,7.0,544,1030017.9059999767
AL_IDX,30m,2.0,4.0,513,176758.513821427
AL_IDX,30m,2.0,5.0,513,176758.513821427
AL_IDX,30m,2.0,6.0,513,176758.513821427
AL_IDX,30m,2.0,7.0,513,176758.513821427
AL_IDX,30m,2.5,4.0,512,169263.4230624996
AL_IDX,30m,2.5,5.0,512,169263.4230624996
AL_IDX,30m,2.5,6.0,512,169263.4230624996
AL_IDX,30m,2.5,7.0,512,169263.4230624996
AL_IDX,30m,3.0,4.0,512,168870.9634999989
AL_IDX,30m,3.0,5.0,512,168870.9634999989
AL_IDX,30m,3.0,6.0,512,168870.9634999989
AL_IDX,30m,3.0,7.0,512,168870.9634999989
AL_IDX,30m,3.5,4.0,512,168230.36499999906
AL_IDX,30m,3.5,5.0,512,168230.36499999906
AL_IDX,30m,3.5,6.0,512,168230.36499999906
AL_IDX,30m,3.5,7.0,512,168230.36499999906
J_IDX,30m,2.0,4.0,524,349176.4057142846
J_IDX,30m,2.0,5.0,524,349176.4057142846
J_IDX,30m,2.0,6.0,524,349176.4057142846
J_IDX,30m,2.0,7.0,524,349176.4057142846
J_IDX,30m,2.5,4.0,524,360020.73594642757
J_IDX,30m,2.5,5.0,524,360020.73594642757
J_IDX,30m,2.5,6.0,524,360020.73594642757
J_IDX,30m,2.5,7.0,524,360020.73594642757
J_IDX,30m,3.0,4.0,524,360264.3931071416
J_IDX,30m,3.0,5.0,524,360264.3931071416
J_IDX,30m,3.0,6.0,524,360264.3931071416
J_IDX,30m,3.0,7.0,524,360264.3931071416
J_IDX,30m,3.5,4.0,524,355141.3993749991
J_IDX,30m,3.5,5.0,524,355141.3993749991
J_IDX,30m,3.5,6.0,524,355141.3993749991
J_IDX,30m,3.5,7.0,524,355141.3993749991
TA_IDX,30m,2.0,4.0,464,155080.80960000097
TA_IDX,30m,2.0,5.0,464,155080.80960000097
TA_IDX,30m,2.0,6.0,464,155080.80960000097
TA_IDX,30m,2.0,7.0,464,155080.80960000097
TA_IDX,30m,2.5,4.0,464,121292.53431785852
TA_IDX,30m,2.5,5.0,464,121292.53431785852
TA_IDX,30m,2.5,6.0,464,121292.53431785852
TA_IDX,30m,2.5,7.0,464,121292.53431785852
TA_IDX,30m,3.0,4.0,464,98905.78905714443
TA_IDX,30m,3.0,5.0,464,98905.78905714443
TA_IDX,30m,3.0,6.0,464,98905.78905714443
TA_IDX,30m,3.0,7.0,464,98905.78905714443
TA_IDX,30m,3.5,4.0,464,81579.66050000105
TA_IDX,30m,3.5,5.0,464,81579.66050000105
TA_IDX,30m,3.5,6.0,464,81579.66050000105
TA_IDX,30m,3.5,7.0,464,81579.66050000105
LC_IDX,30m,2.0,4.0,414,115630.6175714283
LC_IDX,30m,2.0,5.0,414,115630.6175714283
LC_IDX,30m,2.0,6.0,414,115630.6175714283
LC_IDX,30m,2.0,7.0,414,115630.6175714283
LC_IDX,30m,2.5,4.0,414,105291.67100000067
LC_IDX,30m,2.5,5.0,414,105291.67100000067
LC_IDX,30m,2.5,6.0,414,105291.67100000067
LC_IDX,30m,2.5,7.0,414,105291.67100000067
LC_IDX,30m,3.0,4.0,414,102015.83349999937
LC_IDX,30m,3.0,5.0,414,102015.83349999937
LC_IDX,30m,3.0,6.0,414,102015.83349999937
LC_IDX,30m,3.0,7.0,414,102015.83349999937
LC_IDX,30m,3.5,4.0,414,102808.40399999858
LC_IDX,30m,3.5,5.0,414,102808.40399999858
LC_IDX,30m,3.5,6.0,414,102808.40399999858
LC_IDX,30m,3.5,7.0,414,102808.40399999858
SI_IDX,30m,2.0,4.0,492,103956.36878571368
SI_IDX,30m,2.0,5.0,492,103956.36878571368
SI_IDX,30m,2.0,6.0,492,103956.36878571368
SI_IDX,30m,2.0,7.0,492,103956.36878571368
SI_IDX,30m,2.5,4.0,492,96052.02150000096
SI_IDX,30m,2.5,5.0,492,96052.02150000096
SI_IDX,30m,2.5,6.0,492,96052.02150000096
SI_IDX,30m,2.5,7.0,492,96052.02150000096
SI_IDX,30m,3.0,4.0,492,88928.10174999922
SI_IDX,30m,3.0,5.0,492,88928.10174999922
SI_IDX,30m,3.0,6.0,492,88928.10174999922
SI_IDX,30m,3.0,7.0,492,88928.10174999922
SI_IDX,30m,3.5,4.0,492,87661.65924999875
SI_IDX,30m,3.5,5.0,492,87661.65924999875
SI_IDX,30m,3.5,6.0,492,87661.65924999875
SI_IDX,30m,3.5,7.0,492,87661.65924999875
